City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Te Anau,NZ,66.29,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
4,Ribeira Grande,PT,69.66,broken clouds,38.5167,-28.7,Quinta da Meia Eira
8,Vaini,TO,77.16,moderate rain,-21.2,-175.2,Keleti Beach Resort
10,Katsuura,JP,69.82,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
12,Rikitea,PF,75.51,light rain,-23.1203,-134.9692,People ThankYou
13,Katobu,ID,90.19,overcast clouds,-4.9408,122.5276,La Ode Husein
18,West Bay,KY,79.07,overcast clouds,19.3667,-81.4167,Calypso Cove
19,Yei,SS,69.57,scattered clouds,4.095,30.6779,City Link Hotel
27,Mani,CO,75.85,overcast clouds,4.8172,-72.2886,Hotel Belgrado
30,Busselton,AU,71.1,few clouds,-33.65,115.3333,Observatory Guest House
31,Namatanai,PG,85.95,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
32,Butaritari,KI,81.82,few clouds,3.0707,172.7902,Isles Sunset Lodge
34,Kavaratti,IN,81.84,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
35,Hithadhoo,MV,83.05,overcast clouds,-0.6,73.0833,Scoop Guest House
36,Lambarene,GA,72.66,overcast clouds,-0.7001,10.2406,Le Refuge
37,Christchurch,NZ,67.48,broken clouds,-43.5333,172.6333,The George
39,Sur,OM,80.44,clear sky,22.5667,59.5289,Sur Plaza Hotel
40,Esmeraldas,BR,68.31,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
43,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Tshikapa,CD,68.63,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
46,Saint-Philippe,RE,81.48,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
48,Saint George,US,66.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
50,Arraial Do Cabo,BR,69.17,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
53,Atuona,PF,78.24,clear sky,-9.8,-139.0333,Villa Enata
54,Kavieng,PG,85.05,light rain,-2.5744,150.7967,Nusa Island Retreat
60,Marsh Harbour,BS,75.18,light rain,26.5412,-77.0636,Abaco Beach Resort
61,Port Blair,IN,83.68,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
62,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
63,Oriximina,BR,75.65,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
