City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cherskiy,RU,68.75,161.3,-1.39,99,92,5.32,overcast clouds
1,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,3.44,clear sky
2,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,79,90,4.61,light snow
3,Te Anau,NZ,-45.4167,167.7167,66.29,52,89,4.27,overcast clouds
4,Ribeira Grande,PT,38.5167,-28.7,69.66,85,60,22.28,broken clouds
5,Albany,US,42.6001,-73.9662,39.81,79,12,3.49,few clouds
6,Bluff,NZ,-46.6,168.3333,58.84,76,93,12.01,overcast clouds
7,Dikson,RU,73.5069,80.5464,5.34,97,97,3.09,overcast clouds
8,Vaini,TO,-21.2,-175.2,77.16,100,90,5.75,moderate rain
9,College,US,64.8569,-147.8028,24.75,89,90,3.44,light snow
10,Katsuura,JP,35.1333,140.3,69.82,57,62,15.99,broken clouds
11,Ushuaia,AR,-54.8,-68.3,40.66,81,40,4.61,scattered clouds
12,Rikitea,PF,-23.1203,-134.9692,75.51,77,100,8.93,light rain
13,Katobu,ID,-4.9408,122.5276,90.19,58,100,2.04,overcast clouds
14,Jamestown,US,42.097,-79.2353,47.71,88,1,1.01,clear sky
15,Punta Arenas,CL,-53.15,-70.9167,44.71,70,40,12.66,scattered clouds
16,Parabel,RU,58.6978,81.4825,30.92,65,100,15.35,overcast clouds
17,Sept-Iles,CA,50.2001,-66.3821,44.06,84,90,1.01,overcast clouds
18,West Bay,KY,19.3667,-81.4167,79.07,69,99,1.01,overcast clouds
19,Yei,SS,4.095,30.6779,69.57,89,36,3.78,scattered clouds
20,Lata,PT,40.1629,-8.3327,52.07,67,99,4.23,overcast clouds
21,Klaksvik,FO,62.2266,-6.589,45.52,85,100,29.48,overcast clouds
22,Tasiilaq,GL,65.6145,-37.6368,26.76,73,100,5.17,overcast clouds
23,Aksarka,RU,66.5606,67.7975,14.04,88,96,4.5,overcast clouds
24,Sitka,US,57.0531,-135.33,44.49,49,20,9.22,few clouds
25,Kaitangata,NZ,-46.2817,169.8464,61.93,75,94,5.39,overcast clouds
26,Norman Wells,CA,65.282,-126.8329,12.24,85,90,9.22,light snow
27,Mani,CO,4.8172,-72.2886,75.85,82,100,4.03,overcast clouds
28,Pevek,RU,69.7008,170.3133,15.44,76,83,19.93,broken clouds
29,Fortuna,US,40.5982,-124.1573,45.43,73,1,0.0,clear sky
30,Busselton,AU,-33.65,115.3333,71.1,46,13,7.85,few clouds
31,Namatanai,PG,-3.6667,152.4333,85.95,61,81,12.41,broken clouds
32,Butaritari,KI,3.0707,172.7902,81.82,72,21,9.28,few clouds
33,Saskylakh,RU,71.9167,114.0833,16.32,92,100,9.51,overcast clouds
34,Kavaratti,IN,10.5669,72.642,81.84,75,93,6.96,overcast clouds
35,Hithadhoo,MV,-0.6,73.0833,83.05,68,97,14.85,overcast clouds
36,Lambarene,GA,-0.7001,10.2406,72.66,96,100,1.59,overcast clouds
37,Christchurch,NZ,-43.5333,172.6333,67.48,75,75,3.0,broken clouds
38,Oxelosund,SE,58.6706,17.1015,35.53,86,90,12.66,overcast clouds
39,Sur,OM,22.5667,59.5289,80.44,49,1,6.26,clear sky
40,Esmeraldas,BR,-19.7625,-44.3139,68.31,89,90,1.97,overcast clouds
41,Port Alfred,ZA,-33.5906,26.891,63.72,89,100,5.21,moderate rain
42,Bonfim,BR,3.0833,-59.95,77.36,83,100,7.02,light rain
43,Kapaa,US,22.0752,-159.319,80.58,75,40,16.11,scattered clouds
44,Tshikapa,CD,-6.4167,20.8,68.63,91,64,0.94,broken clouds
45,Mar Del Plata,AR,-38.0023,-57.5575,57.87,87,0,4.0,clear sky
46,Saint-Philippe,RE,-21.3585,55.7679,81.48,75,41,10.83,scattered clouds
47,Yar-Sale,RU,66.8333,70.8333,16.0,93,97,8.16,overcast clouds
48,Saint George,US,37.1041,-113.5841,66.79,32,1,1.01,clear sky
49,Saint-Augustin,CA,51.226,-58.6502,37.06,96,100,7.0,overcast clouds
50,Arraial Do Cabo,BR,-22.9661,-42.0278,69.17,77,52,6.15,broken clouds
51,Iqaluit,CA,63.7506,-68.5145,8.33,84,1,15.99,clear sky
52,Koslan,RU,63.4564,48.8989,24.39,96,88,3.04,overcast clouds
53,Atuona,PF,-9.8,-139.0333,78.24,76,9,17.36,clear sky
54,Kavieng,PG,-2.5744,150.7967,85.05,70,10,15.57,light rain
55,Nanortalik,GL,60.1432,-45.2371,30.16,63,100,2.3,overcast clouds
56,Nikolskoye,RU,59.7035,30.7861,37.87,97,100,11.65,moderate rain
57,Haines Junction,CA,60.7522,-137.5108,17.55,68,9,2.48,clear sky
58,Cidreira,BR,-30.1811,-50.2056,61.2,74,6,2.33,clear sky
59,Port Arthur,CN,38.8,121.2667,42.91,77,100,30.2,overcast clouds
60,Marsh Harbour,BS,26.5412,-77.0636,75.18,76,71,20.94,light rain
61,Port Blair,IN,11.6667,92.75,83.68,77,100,11.36,overcast clouds
62,Bairiki,KI,1.3292,172.9752,86.0,70,40,6.91,scattered clouds
63,Oriximina,BR,-1.7656,-55.8661,75.65,91,89,4.12,overcast clouds
64,Saldanha,ZA,-33.0117,17.9442,57.25,73,81,19.93,broken clouds
65,East London,ZA,-33.0153,27.9116,61.74,100,90,8.05,moderate rain
66,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.77,99,100,1.77,overcast clouds
67,Coihaique,CL,-45.5752,-72.0662,40.95,87,0,1.14,clear sky
68,Khatanga,RU,71.9667,102.5,1.29,98,99,8.46,overcast clouds
69,Touros,BR,-5.1989,-35.4608,79.7,78,73,10.4,broken clouds
70,Yuzhno-Sukhokumsk,RU,44.6581,45.6436,48.74,86,28,3.15,scattered clouds
71,Chicama,PE,-7.8447,-79.1469,61.34,85,85,5.77,overcast clouds
