City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chuy,UY,2021-11-04 03:40:24,-33.6971,-53.4616,64.85,97,100,11.32
1,Alice Springs,AU,2021-11-04 03:40:25,-23.7,133.8833,85.55,39,35,11.5
2,Saku,JP,2021-11-04 03:40:25,36.2167,138.4833,63.9,60,29,5.64
3,Sao Filipe,CV,2021-11-04 03:40:25,14.8961,-24.4956,79.52,70,100,1.9
4,Broken Hill,AU,2021-11-04 03:40:26,-31.95,141.4333,73.11,53,40,16.11
5,Provideniya,RU,2021-11-04 03:40:26,64.3833,-173.3,15.21,88,100,11.72
6,Aklavik,CA,2021-11-04 03:40:26,68.2191,-135.0107,16.63,94,28,0.89
7,Ponta Do Sol,PT,2021-11-04 03:40:27,32.6667,-17.1,69.71,73,100,8.01
8,Voyvozh,RU,2021-11-04 03:40:27,62.892,54.9635,30.61,92,99,10.47
9,Lixourion,GR,2021-11-04 03:40:27,38.2019,20.4314,65.84,84,0,13.24
10,Kavieng,PG,2021-11-04 03:40:28,-2.5744,150.7967,82.54,80,100,11.99
11,Punta Arenas,CL,2021-11-04 03:40:28,-53.15,-70.9167,42.91,65,40,17.27
12,Longyearbyen,SJ,2021-11-04 03:40:28,78.2186,15.6401,21.04,58,40,13.8
13,Imeni Babushkina,RU,2021-11-04 03:40:29,59.7573,43.1285,38.53,86,99,10.85
14,Dikson,RU,2021-11-04 03:40:29,73.5069,80.5464,24.8,96,100,16.58
15,Mataura,NZ,2021-11-04 03:40:29,-46.1927,168.8643,63.48,33,18,6.62
16,Hithadhoo,MV,2021-11-04 03:40:30,-0.6,73.0833,82.26,76,33,13.98
17,Ushuaia,AR,2021-11-04 03:37:25,-54.8,-68.3,42.46,70,20,20.71
18,Ribeira Grande,PT,2021-11-04 03:40:30,38.5167,-28.7,69.66,85,100,24.16
19,Atuona,PF,2021-11-04 03:40:31,-9.8,-139.0333,77.86,70,18,16.73
20,Vestmannaeyjar,IS,2021-11-04 03:40:31,63.4427,-20.2734,43.86,81,100,16.49
21,Ostrovnoy,RU,2021-11-04 03:40:31,68.0531,39.5131,37.67,92,98,20.67
22,Touros,BR,2021-11-04 03:38:40,-5.1989,-35.4608,79.7,78,44,11.9
23,Georgetown,MY,2021-11-04 03:40:32,5.4112,100.3354,87.73,72,20,3.0
24,Hobart,AU,2021-11-04 03:39:54,-42.8794,147.3294,69.03,49,20,10.36
25,Ternate,ID,2021-11-04 03:40:32,0.8,127.4,85.59,66,71,5.5
26,Asau,RO,2021-11-04 03:40:33,46.4333,26.4,46.76,57,99,3.38
27,Damietta,EG,2021-11-04 03:40:33,31.4165,31.8133,73.29,70,0,10.98
28,Yulara,AU,2021-11-04 03:40:33,-25.2406,130.9889,84.04,45,93,5.75
29,Dwarka,IN,2021-11-04 03:36:06,22.2394,68.9678,82.69,44,41,11.86
30,Thompson,CA,2021-11-04 03:40:34,55.7435,-97.8558,24.96,93,1,0.0
31,Vanavara,RU,2021-11-04 03:40:34,60.34,102.2797,5.31,75,100,8.72
32,Kapaa,US,2021-11-04 03:38:47,22.0752,-159.319,80.58,78,75,4.0
33,Saint-Francois,FR,2021-11-04 03:40:35,46.4154,3.9054,43.48,93,90,0.0
34,Busselton,AU,2021-11-04 03:40:35,-33.65,115.3333,66.0,55,58,11.1
35,Tadine,NC,2021-11-04 03:40:35,-21.55,167.8833,73.6,60,23,14.23
36,Harper,LR,2021-11-04 03:40:36,4.375,-7.7169,77.18,87,98,6.64
37,Garissa,KE,2021-11-04 03:40:36,-0.4536,39.6401,77.22,78,17,10.09
38,Kavaratti,IN,2021-11-04 03:40:36,10.5669,72.642,81.77,80,95,13.89
39,Rikitea,PF,2021-11-04 03:40:37,-23.1203,-134.9692,73.38,76,100,16.64
40,Meulaboh,ID,2021-11-04 03:40:37,4.1363,96.1285,83.17,70,100,1.9
41,Hukuntsi,BW,2021-11-04 03:40:37,-24.0,21.75,69.35,22,16,10.76
42,Hualmay,PE,2021-11-04 03:40:38,-11.0964,-77.6139,63.45,84,69,8.99
43,Khatanga,RU,2021-11-04 03:40:38,71.9667,102.5,12.02,92,100,20.42
44,Norman Wells,CA,2021-11-04 03:40:38,65.282,-126.8329,14.04,92,90,3.44
45,Adrar,MR,2021-11-04 03:40:39,20.5022,-10.0711,71.28,21,27,10.83
46,New Norfolk,AU,2021-11-04 03:40:39,-42.7826,147.0587,68.67,41,2,3.0
47,Nikolskoye,RU,2021-11-04 03:41:39,59.7035,30.7861,47.88,95,100,5.68
48,Gamba,GA,2021-11-04 03:41:40,-2.65,10.0,74.91,93,63,4.29
49,Hays,US,2021-11-04 03:38:03,30.0502,-98.0336,50.45,97,100,3.0
50,Hamilton,US,2021-11-04 03:38:02,39.1834,-84.5333,38.17,82,1,3.44
51,San Ramon,US,2021-11-04 03:37:30,37.7799,-121.978,64.94,78,1,5.75
52,Vaini,TO,2021-11-04 03:41:40,-21.2,-175.2,80.76,100,75,8.05
53,Port Alfred,ZA,2021-11-04 03:41:41,-33.5906,26.891,62.47,89,18,5.28
54,Albany,US,2021-11-04 03:41:41,42.6001,-73.9662,36.9,87,12,3.65
55,Teknaf,BD,2021-11-04 03:41:41,20.8624,92.3058,81.72,49,98,6.15
56,Barcelona,ES,2021-11-04 03:37:14,41.3888,2.159,51.55,75,20,4.0
57,Sao Felix Do Xingu,BR,2021-11-04 03:41:42,-6.6447,-51.995,71.35,98,84,0.89
58,Husavik,IS,2021-11-04 03:41:42,66.0449,-17.3389,42.71,79,11,8.97
59,Carnarvon,AU,2021-11-04 03:41:43,-24.8667,113.6333,73.47,64,0,18.41
60,Luena,AO,2021-11-04 03:41:43,-11.7833,19.9167,61.05,93,79,0.13
61,Kieta,PG,2021-11-04 03:41:43,-6.2167,155.6333,83.44,75,88,5.28
62,Butaritari,KI,2021-11-04 03:41:44,3.0707,172.7902,82.85,75,17,13.58
63,Aksu,CN,2021-11-04 03:41:44,41.1231,80.2644,50.45,26,48,3.44
64,Sandnessjoen,NO,2021-11-04 03:41:44,66.0217,12.6316,42.78,80,100,5.91
65,Ciudad Bolivar,VE,2021-11-04 03:41:45,8.1222,-63.5497,77.81,80,37,10.04
66,La Ronge,CA,2021-11-04 03:41:45,55.1001,-105.2842,26.85,86,1,1.14
67,Geraldton,AU,2021-11-04 03:41:45,-28.7667,114.6,71.13,64,75,20.71
68,Yellowknife,CA,2021-11-04 03:38:02,62.456,-114.3525,36.41,100,40,8.05
69,Bay City,US,2021-11-04 03:38:42,43.5945,-83.8889,36.57,86,90,4.61
70,Parvatipuram,IN,2021-11-04 03:41:46,18.7833,83.4333,79.65,76,72,2.59
71,Bataipora,BR,2021-11-04 03:41:46,-22.2953,-53.2711,71.62,69,4,4.25
72,Lebu,CL,2021-11-04 03:41:47,-37.6167,-73.65,48.25,84,11,7.7
73,Labuhan,ID,2021-11-04 03:41:47,-6.8844,112.2051,89.22,59,92,6.42
74,Altea,ES,2021-11-04 03:41:48,38.5989,-0.0514,58.3,49,37,3.0
75,Juneau,US,2021-11-04 03:41:48,58.3019,-134.4197,44.22,95,75,3.44
76,Faanui,PF,2021-11-04 03:41:48,-16.4833,-151.75,78.82,76,5,8.12
77,Olafsvik,IS,2021-11-04 03:41:49,64.8945,-23.7142,43.12,76,87,20.96
78,Cabedelo,BR,2021-11-04 03:39:06,-6.9811,-34.8339,79.47,79,22,10.36
79,Ordzhonikidze,KZ,2021-11-04 03:41:49,52.4411,61.7408,20.53,44,2,8.14
80,Eureka,US,2021-11-04 03:41:50,40.8021,-124.1637,64.36,90,100,8.99
81,Hermanus,ZA,2021-11-04 03:41:50,-34.4187,19.2345,59.9,81,33,8.61
82,Puerto Escondido,MX,2021-11-04 03:41:50,15.85,-97.0667,78.06,83,32,3.8
83,Ocos,GT,2021-11-04 03:41:51,14.5094,-92.1933,81.32,77,95,3.62
84,Alekseyevsk,RU,2021-11-04 03:41:51,57.8406,108.3492,10.8,57,100,10.18
85,Quatre Cocos,MU,2021-11-04 03:41:51,-20.2078,57.7625,79.09,70,16,9.82
86,Palimbang,PH,2021-11-04 03:41:52,6.2106,124.1894,86.88,68,83,5.1
87,Shaunavon,CA,2021-11-04 03:41:52,49.6501,-108.4181,37.18,71,71,9.6
88,Cap Malheureux,MU,2021-11-04 03:41:52,-19.9842,57.6142,79.47,67,4,8.99
89,Yumbe,UG,2021-11-04 03:41:53,3.4651,31.2469,63.34,91,97,1.23
90,Sorland,NO,2021-11-04 03:42:53,67.667,12.6934,45.72,83,62,15.12
91,Jamestown,US,2021-11-04 03:42:53,42.097,-79.2353,37.08,84,90,4.0
92,Ilulissat,GL,2021-11-04 03:42:54,69.2167,-51.1,27.7,97,100,6.13
93,East London,ZA,2021-11-04 03:40:22,-33.0153,27.9116,59.94,94,0,6.91
94,Alyangula,AU,2021-11-04 03:42:54,-13.8483,136.4192,93.07,52,40,16.11
95,Hasaki,JP,2021-11-04 03:42:55,35.7333,140.8333,70.29,47,12,6.26
96,Tromso,NO,2021-11-04 03:42:55,69.6496,18.957,39.22,81,75,3.0
97,Puerto Ayora,EC,2021-11-04 03:42:56,-0.7393,-90.3518,69.4,84,40,6.22
98,Banjar,ID,2021-11-04 03:42:56,-8.19,114.9675,87.66,86,100,5.46
99,Port-Gentil,GA,2021-11-04 03:42:56,-0.7193,8.7815,78.22,85,100,10.49
100,Kobayashi,JP,2021-11-04 03:42:57,31.9833,130.9833,69.3,40,1,4.92
101,Katsuura,JP,2021-11-04 03:42:57,35.1333,140.3,66.24,58,84,5.82
102,Liwale,TZ,2021-11-04 03:42:57,-9.7667,37.9333,73.71,78,100,5.66
103,Los Llanos De Aridane,ES,2021-11-04 03:42:58,28.6585,-17.9182,65.95,60,0,6.91
104,Pont-Audemer,FR,2021-11-04 03:42:58,49.35,0.5167,47.95,92,94,10.87
105,Erie,US,2021-11-04 03:42:58,42.7667,-78.6664,38.55,86,55,4.99
106,Leningradskiy,RU,2021-11-04 03:42:59,69.3833,178.4167,-8.95,91,24,6.4
107,Cape Town,ZA,2021-11-04 03:41:05,-33.9258,18.4232,61.21,82,75,11.5
108,Eenhana,NA,2021-11-04 03:42:59,-17.4667,16.3333,64.15,23,38,2.71
109,Barrow,US,2021-11-04 03:42:59,71.2906,-156.7887,24.82,86,90,19.57
110,Lasa,IT,2021-11-04 03:43:00,46.6166,10.7002,44.06,97,100,3.6
111,Saldanha,ZA,2021-11-04 03:43:00,-33.0117,17.9442,53.65,78,100,6.51
112,San Cristobal,VE,2021-11-04 03:43:00,7.7669,-72.225,69.98,94,93,1.52
113,Ouadda,CF,2021-11-04 03:43:01,8.0777,22.4007,67.86,93,100,2.1
114,Upernavik,GL,2021-11-04 03:43:01,72.7868,-56.1549,26.01,83,100,7.29
115,Saint Anthony,US,2021-11-04 03:43:02,45.0205,-93.218,38.19,71,1,1.99
116,Opuwo,NA,2021-11-04 03:43:03,-18.0607,13.84,63.59,26,20,2.3
117,Brae,GB,2021-11-04 03:43:03,60.3964,-1.353,44.51,81,100,26.24
118,Gornyak,RU,2021-11-04 03:43:04,50.9942,81.4661,12.43,73,24,8.99
119,Kununurra,AU,2021-11-04 03:43:04,-15.7667,128.7333,93.18,49,39,6.91
